is_paid,num_subscribers,avg_rating,num_reviews,num_published_lectures,num_published_practice_tests,discount_price__amount,price_detail__amount,cluster
True,16756.0,4.32136,3557.0,30.0,0.0,455.0,8640.0,1
True,15174.0,4.41604,3543.0,57.99999999999999,0.0,800.0,3200.0,1
True,11405.0,4.58471,3516.9999999999995,55.0,0.0,455.0,8640.0,1
True,11653.0,4.40152,3430.0,22.0,0.0,455.0,6400.0,1
True,7453.0,4.36531,3422.0,24.0,0.0,455.0,1920.0,1
True,14644.0,4.37332,3401.0,22.0,0.0,455.0,8640.0,1
True,28894.000000000004,4.31591,3393.9999999999995,18.0,0.0,455.0,3200.0,1
True,9475.0,4.40617,3372.0,51.0,0.0,455.0,8640.0,1
True,14308.0,4.66115,3356.0,122.0,0.0,455.0,8640.0,1
True,83126.0,4.12876,3348.0,66.0,0.0,481.00000000000006,8960.0,1
